Race, Hispanic origin, and year;Number (1,000);;;;;;;;;;;;;;Percent living with--;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008; 2 980 ; 2 535 ; 373 ; 305 ; 80 ; 103 ; 96 ; 26 ; 68 ; 25 ; 16 ; 20 ; 7 ; 72 ;85,1 ;12,5 ;10,2 ;2,7 ;3,5 ;3,2 ;0,9 ;2,3 ;0,8 ;0,5 ;0,7 ;0,2 ;2,4 
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
HISPANIC \4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
1970;4 006; 3 111 ; (NA) ; (NA) ; (NA) ; (NA) ; (NA) ; (NA) ; (NA) ; (NA) ; (NA) ; (NA) ; (NA) ;(NA);77,7 ;0,0 ; (NA) ; (NA) ; (NA) ; (NA) ; (NA) ; (NA) ; (NA) ; (NA) ; (NA) ; (NA) ;0,0 
1980;5 459; 4 116 ; 1 152 ; 1 069 ; (NA) ; (NA) ; (NA) ; (NA) ; 83 ; (NA) ; (NA) ; (NA) ; (NA) ; 191 ;75,4 ;21,1 ;19,6 ; (NA) ; (NA) ; (NA) ; (NA) ;1,5 ; (NA) ; (NA) ; (NA) ; (NA) ;3,5 
1985;6 057; 4 110 ; 1 746 ; 1 612 ; (NA) ; (NA) ; (NA) ; (NA) ; 134 ; (NA) ; (NA) ; (NA) ; (NA) ; 201 ;67,9 ;28,8 ;26,6 ; (NA) ; (NA) ; (NA) ; (NA) ;2,2 ; (NA) ; (NA) ; (NA) ; (NA) ;3,3 
1987;6 647; 4 355 ; 2 027 ; 1 843 ; (NA) ; (NA) ; (NA) ; (NA) ; 184 ; (NA) ; (NA) ; (NA) ; (NA) ; 265 ;65,5 ;30,5 ;27,7 ; (NA) ; (NA) ; (NA) ; (NA) ;2,8 ; (NA) ; (NA) ; (NA) ; (NA) ;4,0 
1988 ;6 786; 4 497 ; 2 048 ; 1 845 ; (NA) ; (NA) ; (NA) ; (NA) ; 202 ; (NA) ; (NA) ; (NA) ; (NA) ; 241 ;66,3 ;30,2 ;27,2 ; (NA) ; (NA) ; (NA) ; (NA) ;3,0 ; (NA) ; (NA) ; (NA) ; (NA) ;3,6 
1989;6 973; 4 673 ; 2 129 ; 1 940 ; (NA) ; (NA) ; (NA) ; (NA) ; 189 ; (NA) ; (NA) ; (NA) ; (NA) ; 171 ;67,0 ;30,5 ;27,8 ; (NA) ; (NA) ; (NA) ; (NA) ;2,7 ; (NA) ; (NA) ; (NA) ; (NA) ;2,5 
1990;7 174; 4 789 ; 2 154 ; 1 943 ; (NA) ; (NA) ; (NA) ; (NA) ; 211 ; (NA) ; (NA) ; (NA) ; (NA) ; 231 ;66,8 ;30,0 ;27,1 ; (NA) ; (NA) ; (NA) ; (NA) ;2,9 ; (NA) ; (NA) ; (NA) ; (NA) ;3,2 
1991;7 462; 4 944 ; 2 222 ; 1 983 ; (NA) ; (NA) ; (NA) ; (NA) ; 239 ; (NA) ; (NA) ; (NA) ; (NA) ; 296 ;66,3 ;29,8 ;26,6 ; (NA) ; (NA) ; (NA) ; (NA) ;3,2 ; (NA) ; (NA) ; (NA) ; (NA) ;4,0 
1992;7 619; 4 935 ; 2 447 ; 2 168 ; (NA) ; (NA) ; (NA) ; (NA) ; 279 ; (NA) ; (NA) ; (NA) ; (NA) ; 237 ;64,8 ;32,1 ;28,5 ; (NA) ; (NA) ; (NA) ; (NA) ;3,7 ; (NA) ; (NA) ; (NA) ; (NA) ;3,1 
1993;7 776; 5 017 ; 2 472 ; 2 176 ; (NA) ; (NA) ; (NA) ; (NA) ; 296 ; (NA) ; (NA) ; (NA) ; (NA) ; 287 ;64,5 ;31,8 ;28,0 ; (NA) ; (NA) ; (NA) ; (NA) ;3,8 ; (NA) ; (NA) ; (NA) ; (NA) ;3,7 
1994;9 496; 6 022 ; 3 019 ; 2 646 ; (NA) ; (NA) ; (NA) ; (NA) ; 373 ; (NA) ; (NA) ; (NA) ; (NA) ; 455 ;63,4 ;31,8 ;27,9 ; (NA) ; (NA) ; (NA) ; (NA) ;3,9 ; (NA) ; (NA) ; (NA) ; (NA) ;4,8 
1995;9 843; 6 191 ; 3 215 ; 2 798 ; (NA) ; (NA) ; (NA) ; (NA) ; 417 ; (NA) ; (NA) ; (NA) ; (NA) ; 438 ;62,9 ;32,7 ;28,4 ; (NA) ; (NA) ; (NA) ; (NA) ;4,2 ; (NA) ; (NA) ; (NA) ; (NA) ;4,4 
1996;10 251; 6 381 ; 3 321 ; 2 937 ; (NA) ; (NA) ; (NA) ; (NA) ; 384 ; (NA) ; (NA) ; (NA) ; (NA) ; 549 ;62,2 ;32,4 ;28,7 ; (NA) ; (NA) ; (NA) ; (NA) ;3,7 ; (NA) ; (NA) ; (NA) ; (NA) ;5,4 
1997;10 526; 6 748 ; 3 260 ; 2 819 ; (NA) ; (NA) ; (NA) ; (NA) ; 441 ; (NA) ; (NA) ; (NA) ; (NA) ; 517 ;64,1 ;31,0 ;26,8 ; (NA) ; (NA) ; (NA) ; (NA) ;4,2 ; (NA) ; (NA) ; (NA) ; (NA) ;4,9 
1998;10 863; 6 909 ; 3 397 ; 2 915 ; (NA) ; (NA) ; (NA) ; (NA) ; 482 ; (NA) ; (NA) ; (NA) ; (NA) ; 551 ;63,6 ;31,3 ;26,8 ; (NA) ; (NA) ; (NA) ; (NA) ;4,4 ; (NA) ; (NA) ; (NA) ; (NA) ;5,1 
1999;11 236; 7 127 ; 3 529 ; 3 023 ; (NA) ; (NA) ; (NA) ; (NA) ; 506 ; (NA) ; (NA) ; (NA) ; (NA) ; 580 ;63,4 ;31,4 ;26,9 ; (NA) ; (NA) ; (NA) ; (NA) ;4,5 ; (NA) ; (NA) ; (NA) ; (NA) ;5,2 
2000;11 613; 7 561 ; 3 425 ; 2 919 ; (NA) ; (NA) ; (NA) ; (NA) ; 506 ; (NA) ; (NA) ; (NA) ; (NA) ; 627 ;65,1 ;29,5 ;25,1 ; (NA) ; (NA) ; (NA) ; (NA) ;4,4 ; (NA) ; (NA) ; (NA) ; (NA) ;5,4 
2001;12 446; 8 111 ; 3 627 ; 3 055 ; 735 ; 777 ; 1 397 ; 146 ; 572 ; 125 ; 108 ; 328 ; 11 ; 710 ;65,2 ;29,1 ;24,5 ;5,9 ;6,2 ;11,2 ;1,2 ;4,6 ;1,0 ;0,9 ;2,6 ;0,1 ;5,7 
2002;12 817; 8 338 ; 3 853 ; 3 212 ; 737 ; 934 ; 1 400 ; 141 ; 641 ; 160 ; 99 ; 375 ; 7 ; 626 ;65,1 ;30,1 ;25,1 ;5,8 ;7,3 ;10,9 ;1,1 ;5,0 ;1,2 ;0,8 ;2,9 ;0,1 ;4,9 
2003;13 284; 8 584 ; 3 999 ; 3 262 ; 702 ; 924 ; 1 495 ; 141 ; 737 ; 186 ; 109 ; 421 ; 21 ; 702 ;64,6 ;30,1 ;24,6 ;5,3 ;7,0 ;11,3 ;1,1 ;5,5 ;1,4 ;0,8 ;3,2 ;0,2 ;5,3 
2004;13 752; 8 886 ; 4 220 ; 3 490 ; 835 ; 947 ; 1 577 ; 131 ; 731 ; 207 ; 110 ; 408 ; 6 ; 646 ;64,6 ;30,7 ;25,4 ;6,1 ;6,9 ;11,5 ;1,0 ;5,3 ;1,5 ;0,8 ;3,0 ;0,0 ;4,7 
2005;14 241; 9 209 ; 4 298 ; 3 619 ; 868 ; 1 013 ; 1 627 ; 112 ; 679 ; 212 ; 89 ; 361 ; 16 ; 734 ;64,7 ;30,2 ;25,4 ;6,1 ;7,1 ;11,4 ;0,8 ;4,8 ;1,5 ;0,6 ;2,5 ;0,1 ;5,2 
2006; 14 697 ; 9 686 ; 4 277 ; 3 674 ; 925 ; 957 ; 1 677 ; 115 ; 603 ; 171 ; 120 ; 294 ; 18 ; 734 ;65,9 ;29,1 ;25,0 ;6,3 ;6,5 ;11,4 ;0,8 ;4,1 ;1,2 ;0,8 ;2,0 ;0,1 ;5,0 
2007; 15 113 ; 10 557 ; 4 019 ; 3 701 ; 960 ; 1 065 ; 1 569 ; 106 ; 317 ; 118 ; 74 ; 105 ; 20 ; 537 ;69,9 ;26,6 ;24,5 ;6,4 ;7,0 ;10,4 ;0,7 ;2,1 ;0,8 ;0,5 ;0,7 ;0,1 ;3,6 
2008; 15 642 ; 10 901 ; 4 131 ; 3 764 ; 915 ; 1 088 ; 1 649 ; 112 ; 367 ; 111 ; 103 ; 146 ; 7 ; 610 ;69,7 ;26,4 ;24,1 ;5,8 ;7,0 ;10,5 ;0,7 ;2,3 ;0,7 ;0,7 ;0,9 ;0,0 ;3,9 
;;;;;;;;;;;;;;;;;;;;;;;;;;;
NON-HISPANIC WHITE \3, \4;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;43 759; 33 824 ; 8 785 ; 6 925 ; 3 602 ; 1 266 ; 1 734 ; 323 ; 1 860 ; 1 018 ; 311 ; 425 ; 105 ; 1 150 ;77,3 ;20,1 ;15,8 ;8,2 ;2,9 ;4,0 ;0,7 ;4,3 ;2,3 ;0,7 ;1,0 ;0,2 ;2,6 
2004;43 262; 33 251 ; 8 738 ; 6 894 ; 3 643 ; 1 175 ; 1 733 ; 344 ; 1 844 ; 1 003 ; 246 ; 500 ; 96 ; 1 274 ;76,9 ;20,2 ;15,9 ;8,4 ;2,7 ;4,0 ;0,8 ;4,3 ;2,3 ;0,6 ;1,2 ;0,2 ;2,9 
2005;43 106; 32 708 ; 9 141 ; 7 088 ; 3 646 ; 1 332 ; 1 826 ; 283 ; 2 053 ; 1 036 ; 322 ; 610 ; 86 ; 1 257 ;75,9 ;21,2 ;16,4 ;8,5 ;3,1 ;4,2 ;0,7 ;4,8 ;2,4 ;0,7 ;1,4 ;0,2 ;2,9 
2006; 42 744 ; 32 459 ; 8 897 ; 6 831 ; 3 510 ; 1 216 ; 1 800 ; 305 ; 2 067 ; 1 107 ; 309 ; 567 ; 83 ; 1 386 ;75,9 ;20,8 ;16,0 ;8,2 ;2,8 ;4,2 ;0,7 ;4,8 ;2,6 ;0,7 ;1,3 ;0,2 ;3,2 
2007; 42 261 ; 33 228 ; 7 988 ; 6 455 ; 3 435 ; 1 196 ; 1 556 ; 268 ; 1 533 ; 962 ; 287 ; 207 ; 77 ; 1 046 ;78,6 ;18,9 ;15,3 ;8,1 ;2,8 ;3,7 ;0,6 ;3,6 ;2,3 ;0,7 ;0,5 ;0,2 ;2,5 
2008; 42 052 ; 32 712 ; 8 239 ; 6 522 ; 3 388 ; 1 252 ; 1 568 ; 314 ; 1 717 ; 1 043 ; 314 ; 274 ; 86 ; 1 101 ;77,8 ;19,6 ;15,5 ;8,1 ;3,0 ;3,7 ;0,7 ;4,1 ;2,5 ;0,7 ;0,7 ;0,2 ;2,6 
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
